Image_name,ocr_text,caption
train0001.jpg,হরেক রকম চোর দিয়া বানাইছো মেলা . পিসি তোমার দরবারে এখন ৫Bl এর খেলাlI [[367444 6- 1 |641[170 Viewiton dailyhunt App Store Googl PloY,a woman sitting on a couch with a plate of food in her hand
train0002.jpg,বর যাত্রী যাওয়ার টাইমে যখন গাড়িতে জায়গা কম পড়ে ছোটরাঃ,arafed cat sitting on a car seat with a caption of a cat sitting on the back of a car
train0003.jpg,তুমি কথা না বললে বুকে অনেক ব্যখাহেয় TAR ঠিক মত পানি খাাও এটা গ্যাস্রিকের ব্যথা BAU;,a picture taken from a video of a woman talking on a cell phone
train0004.jpg,যখন ভল্লুক এসে পড়ে এবং আপনি এবং আপনার বেস্টফ়রেন্ড দুজনের কেউই জানেন না কিভাবে গাছে চড়তে হয় 9,there are two men sleeping together on a bed with a caption
train0005.jpg,বন্ধুযখন তার গফকেকাজিন বলে পরিচয় দেয় [4]44 {C#I43} { পuঠ@ ৎees সম্পর্কবদলে গেল পলকে Jট: একটি,a close up of a person sitting on a couch with a guitar
train0006.jpg,"*নির্বাচনের দিন এগিয়ে আসছে* || সীমান্তের প্রতিটি ভারতীয় সেনা এবং ""দেশবিরোধী জঙ্ঙগ : ; 4,4 ? ;''; : ""4 (2 + 3 7 ( ' (chuckles) I'm in danger",cartoon of a man sitting on a bus with a sign in the background
train0007.jpg,৪ UEEয় IRR UFF ৭ 4এ TFF J A d ধ OৎF J৭ &/ OFEIQAII আমায় একটী পাখি ড্রেস কিনে দিবা ? OFE BAE] পাখিরা আবার ড্রেস পড়লো কবে OEBRIII 4443441039448 যে তুমি পাখির ড্রেস পড়বা! ),a couple of people that are in a room with a caption
train0008.jpg,তদন্ত্যনাকিরেইপো্কিস্তানকে দোষারোপ করাউিচিংহিয়্ানিোদিরণ আিমার্ বিরোধীতা করো করতে থাকো] কিন্তুংদেেশের বিরোধীতা করোন৩],a picture of a man with a white beard and a woman with a green shirt
train0009.jpg,"[1!!!| আমর হর্ট কেপ্রশ্ন করলামঃ- নeাডা ""ভালোবাসা মানে কি?"" আকাইম্মা হার্ট বললঃ-আমার কাজরক্ত পাম্প হুদাইসিলেবাসের বাইরে প্রশ্ন করিস না করা;",a close up of two pictures of a man with a surprised look
train0010.jpg,আমি আওয়ামীলীগ করি করোজোনইেরপস পসরয়েখন,a picture of a cartoon monkey with a funny face and a caption of a man
train0011.jpg,Teasher সময় শষ খাতা দেওনা কেন? Student স্যার সময়ের চেয়ে জীবনের মূল্য বেশি| Teacher :কি? Student সময়ের জন্য লেখতেনা পেরে যাদ ফেইল কার এবং পরে আত্যহত্যা কার তখন? Teacher : ^{IANf #EচE,a man is helping a boy with a stick to play with him
train0012.jpg,দাদা পুরানো তালা ভাঙতে হবে BEevincuigie ] IIEh[S সস্তায় লই} কলকাতা পুলিশে যগাোগ করুণ কিছু,a couple of people that are standing in a store
train0013.jpg,এইচএসসি রেসাল্টের পর যখন তোমার মা রাজুর পরিবর্তে তোমাকে আস্ত ডিম খেতে দেয় [EILFZ C ULE_U_IIRu_ [7ik3 [|9 harnza-gh | 75 ৫keJ,a cartoon of a woman holding a baby and a man with a toothbrush
train0014.jpg,@সুমন আহম্মেদ বঙ্গবন্ধু @টেলাইট গরর্যু গৌ্পিড ৮০০ টকী কেজি,a close up of a satellite with a bunch of meat on it
