Image_name,Label,ocr_text,final_text
train0001.jpg,Political,হরেক রকম চোর দিয়া বানাইছো মেলা.: পিসি তোমার দরবারে এখন ৫Bl এর খেলা I Wiewiton dailyhunt ApD Store Goপgl Pluy 4411[1110,
train0002.jpg,NonPolitical,বর যাত্রী যাওয়ার টাইমে যখব গাড়িতে জায়গা কম পড়়ে ছোটরাঃ,
train0003.jpg,NonPolitical,তুমিকেখা নোবলল বুকে অনেক ব্যখাহেয় TARLBAU; ঠিক মত পানি খাও এটা গ্যাস্রিকের ব্যথা,
train0004.jpg,NonPolitical,"যখন ভল্লুক এসে পড়ে এবং আপন এবং আপনার বেস্টফ়রেন্ড দুরজনের কেউই জানেন না কিভাবে গাছে চড়তে হয় 0, 0",
train0005.jpg,NonPolitical,বন্ধুযখন তার গফকেকাজিন বলে পরিচয় দেয় [41#4 {C#I43} { @uঠe ৎemes সম্পর্কবদলে গেল একটি পলকে Jট:,
train0006.jpg,Political,"*ির্বাচনের দিন এগিয়ে আসছে* || সীমান্তের প্রতিটি ভারতীয় সেনা এবং ""দেশবিরোধী জঙ্ঙগ : EHERGৌ ACY EX!া (chuckles) I'm in danger",
train0007.jpg,NonPolitical,98 OEEIJE 9র 9EEJEAE CEEUAAR DEEJAEE OFEIRAII আমীয় একটী পাখি ড্রেস কিনে দিবা ? OFE gAg পাখিরা আবার ড্রেস পড়লো কবে OFE }EI  346470|3948 যে তুমি পাখির ড্রেস পড়বা!,
train0008.jpg,Political,৩দন্ত্যনাকিরেইপো্কিস্তানকে দোষারোপ করাউিচিংহিয়্ানিোদিরণ আিমার বিরোধীতা করো করতে থাকো] কিন্তুংদেেশের বিরোধীতা করোন৩],
train0009.jpg,NonPolitical,"আমরহর্ট কেপ্রশ্ন করলামঃ- [নভালোবাস] মানে কি?"" আকাইম্মা হরটবললঃ- আমার কাজরক্ত পাম্প করা; হুদাইসিলেবাসের বাইরে প্রশ্ন করিস না {!!",
train0010.jpg,Political,আমি  আওয়ামীলীগ করি করোজোনইেরপস পসরয়েখন,
train0011.jpg,NonPolitical,Teacner সময় শেষ খাতা দেওনা কেন? Student স্যার সময়ের চেয়ে জীবনের মূল্য বেশি/ Teacher কি? Student সময়ের জন্য লেখতেনা পেরে যাদ ফেইল কার এবং পরে আত্যহত্যা কার তখন? Teacher ^2aAf পরচsE,
train0012.jpg,Political,দাদা পুরানো তালা ভাঙতে হবে 7H৫ 7 !- 718 IIEL[S সস্তায় কিছু লেইঃ কলকাতা পূলিশে যগাোগ করুণ,
train0013.jpg,NonPolitical,এইচএসসি রেসাল্টের পর যখন তোমার মা রাজুর পরিবর্তে তোমাকে আস্ত ডিম খেতে দেয় [EILFZ C UINএঞu [7ik ৫k৮y [|99 harnza-gh | 75,
train0014.jpg,Political,@সূমন আহম্মেদ বঙ্গবন্ু @টটেলাইট গরচ্য় গৌ্পিত ৮০০ টকী কেজি,
train0015.jpg,Political,"মিত্রোঁ, বামপন্থীরারাজনৈতিক কাজকর্মের জন্য কৌটো নাচিয়ে পেয়সা তোলে ভিখারীর মতো | কিন্তু আমরা ভিক্ষা করবো না] আমরা পিএম কেয়ার ফান্ড খুলবো |",
train0016.jpg,NonPolitical,"টাংগাইলের শাডি আর চমচয মহেরা জমিদার বড়ি Tangaila Sarvas"" গোপালপুর২৩১ গুষজমসজিদ",
train0017.jpg,NonPolitical,Cluolautar Aaja Ah GIMLUJaU Thঙ গুম হইবেন? তো নারায়নগঞ্জ যান না ক্যারে? [{0!! গুঁম হমু!! বলছিলাম নাকি ভাই?,
train0018.jpg,NonPolitical,"Me Saying No To ""গরুর মাংস"" Cause of a Strict Diet Like VMoma",
train0019.jpg,NonPolitical,ডিয়ার পৃথিরী; গ ট্ুদ্য় সে্টিসদ্যান গোটু  IKKEUAMARE IMARAILA দ্যা প্রোফাইল সেঞ্চি অ্যন্ডচয়েস জেনারেল মুড়,
train0020.jpg,NonPolitical,Rulhustilllaye [ereeeBeegU সামনে পহেলা বৈশাখ এেকটা ড্রেসও কেউ গিফট করলো না এতোগুলা পচা,
